"Source.Uniform","Date.LPC","Trip.ID.by.date","LPC.present","Harvest.kg..NAs.Prey....","Harvest.kg","HarvShare_NotAccounted","Made.Kill","Day.Night","Prey.Number","Prey.Catch.Spa","Prey.Catch","Prey.Catch.2","Prey.Catch.3","Prey.Catch.4","Prey.Catch.5","PC.kg","PC.kg.2","PC.kg.3","PC.kg.4","PC.kg.5","Harvest.guess","hoh.key","Hunter.ID","Hunter.Age","Technology","Hours.hunted","Dogs.used","Assistant.1.ID","Assistant.1.Age","Assistant.1.Technology","Assistant.2.ID","Assistant.2.Age","Assistant.2.Technology","Assistant.3.ID","Assistant.3.Age","Assistant.3.Technology","month","day","yr","month.yr","date"
"Notes","6/17/11",1,"No","deer (x1)",34,34,NA,"day",1,"antelope","yuk","","","","",NA,NA,NA,NA,NA,"Yes",65,"M65A",49,"Shotgun",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","17","2011","06/2011","06/17/2011"
"Notes","6/29/11",3,"Yes","0",0,0,NA,"day",0,"ground mole traps checked & bird trap set by assistants (pigeon catched on 062911)","","","","","",NA,NA,NA,NA,NA,"No",66,"M66A",33,"Machete",2,"Yes","M65D",16,"Trap","M65E",14,"Trap",NA,NA,NA,"06","29","2011","06/2011","06/29/2011"
"Notes","6/29/11",3,"Yes","0",0,0,NA,"day",0,"ground mole traps checked & bird trap set by assistants (pigeon catched on 062911)","","","","","",NA,NA,NA,NA,NA,"No",0,"M0A",34,"Machete",2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","29","2011","06/2011","06/29/2011"
"Notes","7/1/11",5,"No","0",0,0,NA,"night",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",19,"M19E",16,"Shotgun",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07","01","2011","07/2011","07/01/2011"
"Notes","7/1/11",5,"No","0",0,0,NA,"night",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",55,"M55A",39,"Machete",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07","01","2011","07/2011","07/01/2011"
"Notes","7/2/11",6,"No","0",0,0,NA,"day",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",19,"M19E",16,"Shotgun",1.5,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07","02","2011","07/2011","07/02/2011"
"Notes","7/2/11",6,"No","0",0,0,NA,"day",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",55,"M55A",39,"Machete",1.5,"No","M55C",13,"Machete",NA,NA,NA,NA,NA,NA,"07","02","2011","07/2011","07/02/2011"
"Notes","7/2/11",7,"Yes","0",0,0,NA,"day",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",0,"M0A",34,"Machete",1.75,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07","02","2011","07/2011","07/02/2011"
"Notes","7/2/11",7,"Yes","0",0,0,NA,"day",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",19,"M19E",16,"Shotgun",1.75,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07","02","2011","07/2011","07/02/2011"
"Notes","7/2/11",7,"Yes","0",0,0,NA,"day",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",55,"M55A",39,"Machete",1.75,"Yes","M55C",13,"Machete",NA,NA,NA,NA,NA,NA,"07","02","2011","07/2011","07/02/2011"
"Notes","7/2/11",7,"Yes","0",0,0,NA,"day",0,"deer","","","","","",NA,NA,NA,NA,NA,"No",61,"M61A",21,"Machete",1.75,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"07","02","2011","07/2011","07/02/2011"
