"X","HA.file","hh.key","hum.key","obs.key","name.obs","date.hunt","dh.day","dh.month","dh.year","date.surv","ds.day","ds.month","ds.year","tripurp","tripother","hunt.start","hunt.end","location","hum.party","humpty.num","dogs.used","dogs.names","dog.party","dogpty.num","success","why","weapon","own.weap","prey1","prey2","prey3","prey4","pnum1","pnum2","pnum3","pnum4","pnkill1","pnkill2","pnkill3","pnkill4","ptime1","ptime2","ptime3","ptime4","ptrack","pweight1","pweight2","pweight3","pweight4","psex1","psex2","psex3","psex4","tmsenc1","tmsenc2","tmsenc3","tmsenc4","dog.tcatch","dog.tcomm1","dog.tcomm2","dog.tcomm3","hun.tkill","hun.tcomm1","hun.tcomm2","hun.tcomm3","butchn.field","butchn.time","butchn.dur","sharing","sharing.ids","which.share","hun.madek","dog.startcha","chase.other","uns.attacks","unsatt.why","other.res","dog.reward","dog.rewhen","dog.rewhat","dog.rewids","dog.wound","dog.wndids","dog.wndcau","notes","Trip.ID.by.date","HA.file.fl"
1,"HA n01",73,"73C","0A","LPC","16/04/2012",16,4,2012,"17/04/2012",17,4,2012,"OTHER","CHOP BUSH","07:00","10:30","PASTURE","73C",1,"Y","TIGER;SALLY","M73A;F73B",2,"N","DEER ESCAPED","MACHETE",NA,"DEER",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,"08:00",NA,NA,NA,"TRACKS",0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F73B",NA,NA,NA,"FIREWOOD","Y","AT HOME","OTHER TORTILLA",NA,NA,NA,NA,"",75,NA
2,"HA n02",32,"32A","0A","LPC","09/04/2012",9,4,2012,"17/04/2012",17,4,2012,"FARM",NA,"06:30","13:00","SAN JOSE","32A",1,"Y","PUPPIE","M32A",1,"Y",NA,"MACHETE",NA,"GIBNUT",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"07:00",NA,NA,NA,NA,45,NA,NA,NA,"MALE",NA,NA,NA,1,NA,NA,NA,"07:00",5,NA,NA,"12:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32D","M32A","N","N",NA,"BROKEN","N",NA,NA,NA,"N",NA,NA,"",71,NA
3,"HA n03",5,"5C","0A","LPC","17/04/2012",17,4,2012,"17/04/2012",17,4,2012,"HUNT",NA,"06:30","11:30","SILVERIOS FARM","5C;5D;6A;5A",4,"Y","CHICPECK;BLACKIE;BARZIN;YELLOW","M5C;M5B;M5A;F5D",4,"Y",NA,"GUN","8A","PECCARY",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10:00",NA,NA,NA,NA,80,NA,NA,NA,"FEMALE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"N",NA,NA,"Y","5D","BACK LEG","6A",NA,"N","N",NA,NA,"Y","AFTER KILLING",NA,NA,NA,NA,NA,"",76,NA
4,"HA n04",45,"45A","0A","LPC","19/04/2012",19,4,2012,"24/04/2012",24,4,2012,"OTHER","JIPPI-JAPPA","10:00","12:00","BEHIND GREGORY CAL","45A",1,"Y","WHITEY;PUPPIEHE;PUPPIESHE;TIGER;NENE","M45B;F45A;F46A;M45D;F45C",5,"Y","LOOK AND CHASE","MACHETE",NA,"GIBNUT",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10:30",NA,NA,NA,"TRACKS",15,NA,NA,NA,"MALE",NA,NA,NA,3,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,"45A",NA,"N","Y","PERROS DISTRAIDOS;PERROS BEBIENDO AGUA","JIPPI-JAPPA",NA,NA,NA,NA,NA,NA,NA,"",77,NA
5,"HA n05",45,"45A","0A","LPC","22/04/2012",22,4,2012,"24/04/2012",24,4,2012,"HUNT",NA,"07:30","13:00","MARCOS SHO FARM","45A;26A",2,"Y","SPIKEY;TIGER;WHITEY;PUPPIEHE;PUPPIESHE","M26A;M45B;F45A;M45D;F45C",1,"N",NA,"GUN",NA,"PECCARY",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,"08:00",NA,NA,NA,"DOGS",0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",78,NA
6,"HA n06",45,"45A","0A","LPC","24/04/2012",24,4,2012,"24/04/2012",24,4,2012,"HUNT",NA,"06:30","14:00",NA,"45A",1,"Y","WHITEY;TIGER;PUPPIESHE;PUPPIEHE;NENE;BUTT;SPIKEY","F45A;M45B;F45C;M45D;F46A;F46B;M26A",7,"N",NA,"MACHETE",NA,"PECCARY",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,"08:00",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",79,NA
7,"HA n07",28,"28A","0A","LPC","25/04/2012",25,4,2012,"26/04/2012",26,4,2012,"HUNT",NA,"07:30","10:30",NA,"28A",1,"N",NA,NA,NA,"Y",NA,"GUN","26A","PECCARY","DEER",NA,NA,1,1,NA,NA,1,0,NA,NA,"20:35","20:30",NA,NA,"USE LIGTH",30,0,NA,NA,"MALE",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,"N",NA,"","Y","28A",NA,"28A",NA,"N","Y","EL CARTUCHO NO DISPARO",NA,"Y",NA,NA,"M26A",NA,NA,NA,"",80,NA
8,"HA n08",45,"45A","0A","LPC","25/04/2012",25,4,2012,"26/04/2012",26,4,2012,"OTHER","FUEL COLECTION","09:30","00:30",NA,"45A;45B",2,"Y","TIGER;WHITEY;NENE;PUPPIEHE;PUPPIESHE","M45B;F45A;F46A;M45D;F45C",5,"Y",NA,"MACHETE",NA,"AGOUTI",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"11:45",NA,NA,NA,"OTHER",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"N",NA,"FIREWOOD",NA,NA,NA,NA,NA,NA,NA,"",81,NA
9,"HA n09",45,"45A","0A","LPC","27/04/2012",27,4,2012,"02/05/2012",2,5,2012,"HUNT",NA,"07:30","16:30","Ha il chimun","26A;45A",2,"Y","TIGER;NENE;WHITEY;SPIKEY","M45B;F46A;F45A;M26A",4,"N","SEVERAL TRIALS BETER","GUN",NA,"PECCARY",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HALF AND HALF","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",82,NA
10,"HA n10",45,"45A","0A","LPC","29/04/2012",29,4,2012,"02/05/2012",2,5,2012,"HUNT",NA,"00:40","02:00","CATARINO'S PLANTATION GROOP B SIDE","26C;45A",2,"N",NA,NA,NA,"Y","NO GUN","GUN","26A","DEER","DEER",NA,NA,1,1,NA,NA,1,0,NA,NA,"01:00",NA,NA,NA,"NOISES",85,0,NA,NA,"FEMALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01:07",NA,NA,NA,"N","01:00","","Y","45A;79A","HALF AND HALF","45A",NA,"N",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",83,NA
