,hh.key,hum.pos,hum.key,X2011.puppies,X2011.pup.num,X2011.pup.surv,dog.lifexp.min,dog.lifexp.max,lifexp.guard.min,lifexp.guard.max,lifexp.hunt.min,lifexp.hunt.max,dog.origin,buy.food,feed.tortillas.min,feed.tortillas.max,give.medicine,give.vaccine,vacc.type,cost.inje,cost.pill,cost.vacc,buy.meat,buy.meat.from,buy.meat.tpw,dog.type,hunt.with.dogs,curr.or.past,hunt.tpw,hunt.alone,halone.tpw,hunt.group,hunt.goup.whom,hgroup.tpw,set.traps,traps.for,age.start.trap,taught.trap,ideal.num.dogs.min,ideal.num.dogs.max,chabe.type,alca.type,chabe.male,chabe.female,alca.male,alca.female,chabe.prey.pref,why.chabespp,hunter.prey.pref,why.hunterspp,time.to.train,dogs.prey.pref.is,wounds.tpw,age.started.hunt.min,age.started.hunt.max,taught.hunt,hunt.area.pref,best.months,bestmo.kiib,bestmo.chiic,bestmo.cululu,bestmo.wech,bestmo.kitam,bestmo.halee,bestmo.keeh,bestmo.och,bestmo.bah,bestmo.OTHR,hunt.tech,own.gun,guns.owner.if.borrowed,cartridges.bpm,cartridge.cost,topmo.cpurch,DHNotes,num.dog.female,num.dog.male,num.dog.dead,num.dog.sold,num.gun.own,num.gun.borrow
1,1,A,1A,N,NA,NA,NA,NA,NA,NA,NA,NA,grow,N,6,8,N,N,NA,NA,NA,NA,Y,"5A, 26A",0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,"birds, bah",14,"father, uncle, OTHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,1,0,0,0,NA
2,2,A,2A,Y,3,2,NA,NA,20,20,14,14,grow,N,3,3,N,N,DK,DK,DK,DK,Y,54A,5 per year,"hunter, guard",N,currently,NA,NA,NA,NA,NA,NA,Y,bah,12,friend,3,3,1,NA,NA,NA,NA,NA,"halee,wech",NA,NA,NA,120,NA,0.0625,14,14,54A,Ku Blanco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M, D",N,N,NA,NA,NA,,1,1,3,0,0,NA
3,3,C,3C,Y,3,3,10,10,10,10,2,2,"buy, grow",N,2,2,N,Y,rabies,5,NA,NA,Y,4A,0.5,guard,N,NA,NA,NA,NA,Y,4A,NA,Y,"birds, bah",12,uncle,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"keeh,wech,kitam",NA,30,NA,NA,15,15,54A,everywhere,NA,kohun seed drop off,NA,NA,corn time,corn time,kohun seed drop off,corn time small,NA,NA,NA,"G,M",N,40A,NA,NA,NA,,3,1,2,1,NA,NA
4,4,A,4A,Y,3,0,NA,NA,10,10,1,2,"buy, grow",N,6,6,Y,Y,rabies,DK,DK,0,Y,5A,NA,guard,Y,currently,2,Y,NA,Y,"61A, 14A",NA,Y,"birds, bah",14,OTHR,3,3,2,3,0,1,0,0,"halee,wech",NA ,wech,NA,30,L,NA,10,10,40A,Junchel Ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G,M",N,40A,NA,NA,NA,"Goes hunting with 61A, 14A when hunting in group, learned to set traps from school children. Survey version did not have questions 80b, 81b why.hunterspp. Dogs get wounded by hunting 2 tpw. dog.lifexp question not on this version of the survey",1,0,3,0,0,NA
5,5,A,5A,N,0,NA,15,15,15,15,3,3,buy,N,25,25,Y,Y,rabies,DK,DK,0,N,NA,NA,hunter,Y,currently,3,Y,NA,Y,"26A, 6A, 5C, 5D",0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M, D",N,26A,0,2.5,NA,,2,3,8,0,0,NA
6,6,A,6A,N,NA,NA,10,15,NA,NA,2,3,grow,Y,20,20,Y,Y,rabies,DK,DK,0,N,NA,NA,hunter,Y,currently,3,N,NA,Y,5A,NA,Y,"birds, bah",12,father,4,4,2,1,1,1,1,0,kitam,NA,kitam,NA,135,L,0.5,15,15,5A,Ku Blanco,NA,DK,NA,NA,Dec,ALLM,ALLM,ALLM,NA,NA,NA,"M,D",N,9A,0,2.5,NA,,1,1,0,0,0,NA
7,7,A,7A,Y,1,0,6,6,NA,NA,2,3,OTHR,N,2,3,N,N,NA,N,NA,NA,Y,5A,2,NONE,N,NA,NA,NA,NA,NA,NA,NA,Y,"birds, bah, halee",12,"5A, father",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dog was Tuli's daugther,1,0,0,0,0,NA
8,8,A,8A,Y,4,0,15,15,NA,NA,2,2,grow,N,10,15,N,Y,rabies,NA,NA,NA,Y,"49A, 5A, 66A",1,hunter,Y,currently,0.25,Y,NA,Y,5A,NA,Y,"birds, bah",12,OTHR,5,6,3,2,3,0,0,2,"wech,halee",NA,halee,NA,22,L,0.5,14,14,father,ASC,NA,"Apr, May, OTHR",NA,NA,ALLM,Aug,"Apr, May, OTHR",ALLM,NA,NA,NA,"G,M,D,C",Y,NA,48,2.5,NA,,0,3,1,0,1,NA
9,9,A,9A,Y,4,2,15,15,15,15,10,10,"buy, grow",N,3,4,Y,Y,rabies,3,DK,0,N,NA,NA,hunter,Y,currently,3,N,NA,Y,"5A, 26A",NA,Y,"birds, bah",12,father,5,5,1,4,1,0,3,1,"wech,halee",NA,"wech,halee,kitam",NA,3,T,1,16,16,5A,ASC,ALLM,NA,NA,NA,ALLM,"Oct, Nov",DK,DK,NA,NA,NA,"G, M, D",Y,NA,5,2.5,NA,"purchases 5-6 cartridges per month from June to August, more in November to December. In Belize the pack of cartridges cost 5.00",1,2,0,0,1,NA
10,10,A,10A,N,NA,NA,15,15,NA,NA,15,15,grow,N,5,5,Y,Y,rabies,2.5,NA,0,Y,"5A, 26A",NA,hunter,Y,past,0.5,Y,NA,Y,"9A, 8E, 8D",NA,Y,bah,12,grandfather,5,6,1,4,1,0,2,3,"wech,halee",NA,wech,NA,30,L,NA,14,14,grandfather,ASC,NA,ALLM,NA,NA,Aug-Dec,ALLM,ALLM,NA,NA,NA,NA,"M,D",NA,NA,NA,NA,NA,,5,5,1,0,0,NA
