date,hh.key,hum.key,name,wlb_guess,wlb_real,wkg_guess,wkg_real,resource,source
12/11/30,45,45A,,30,40,13.6,18.1,mabui,b4p11b
12/11/30,49,49C,,27,40,12.2,18.1,mabui,b4p11b
12/11/30,26,26C,,26,40,11.8,18.1,mabui,b4p11b
12/11/30,0,0A,,32,40,14.5,18.1,mabui,b4p11b
12/06/12,73,73C,,10,14,4.5,6.4,mabui,b4p20
12/06/12,73,73C,,40,36,18.1,16.3,mabui,b4p20
12/06/12,71,71A,,25,36,11.3,16.3,mabui,b4p20
12/06/12,0,0A,,5,14,2.3,6.4,mabui,b4p20
12/06/12,0,0A,,35,36,15.9,16.3,mabui,b4p20
12/08/12,0,0A,,15,14,6.8,6.4,wech,b4p22b
12/08/12,36,36A,,13,14,5.9,6.4,wech,"GPS/HR, b4p22b"
12/08/12,5,5A,,8,14,3.6,6.4,wech,"GPS/HR, b4p22b"
12/08/12,27,27A,,15,14,6.8,6.4,wech,"GPS/HR, b4p22b"
12/08/12,28,28A,,11.5,14,5.2,6.4,wech,"GPS/HR, b4p22b"
12/08/12,45,45A,,12.5,14,5.7,6.4,wech,"GPS/HR, b4p22b"
12/08/12,26,26A,,12,14,5.4,6.4,wech,"GPS/HR, b4p22b"
12/08/12,0,0A,,15,14,6.8,6.4,wech,"GPS/HR, b4p22b"
12/13/12,58,58C,,25,24,11.3,10.9,suitcase,b4p26
12/13/12,0,0A,,20,24,9.1,10.9,suitcase,b4p26
12/13/12,37,37A,,10,16,4.5,7.3,ik,b4p26
12/13/12,37,37C,,8,8,3.6,3.6,ik,b4p26
12/13/12,0,0A,,12,16,5.4,7.3,ik,b4p26
12/14/12,46,46A,,3,12,1.4,5.4,box buul,b4p27
12/14/12,0,0A,,4,12,1.8,5.4,box buul,b4p27
12/14/12,65,65J,,11,12,5,5.4,potato,b4p29
12/14/12,65,65F,,15,12,6.8,5.4,potato,b4p29
12/14/12,65,65G,,14,12,6.4,5.4,potato,b4p29
12/14/12,65,65A,,9,12,4.1,5.4,potato,b4p29
12/14/12,65,65C,,8,12,3.6,5.4,potato,b4p29
12/14/12,0,0A,,10,12,4.5,5.4,potato,b4p29
12/16/12,31,31A,,20,20,9.1,9.1,rice,b4p29b
12/16/12,29,29A,,10,20,4.5,9.1,rice,b4p29b
12/16/12,30,30C,,30,20,13.6,9.1,rice,b4p29b
12/16/12,30,30F,,13,20,5.9,9.1,rice,b4p29b
12/16/12,0,0A,,25,20,11.3,9.1,rice,b4p29b
12/19/12,5,5D,,25,29,11.3,13.2,kitam,b4p32
12/19/12,5,5A,,40,29,18.1,13.2,kitam,b4p32
12/19/12,6,6A,,35,29,15.9,13.2,kitam,b4p32
12/19/12,5,5C,,32.5,29,14.7,13.2,kitam,b4p32
12/19/12,0,0A,,20,29,9.1,13.2,kitam,b4p32
12/20/12,5,5A,,25,38.5,11.3,17.5,kitam,GPS/HR
12/20/12,5,5,,26,38.5,11.8,17.5,kitam,GPS/HR
12/20/12,36,36A,,35,38.5,15.9,17.5,kitam,GPS/HR
12/20/12,5,5C,,20,38.5,9.1,17.5,kitam,GPS/HR
12/20/12,6,6A,,35,38.5,15.9,17.5,kitam,GPS/HR
12/20/12,0,0A,,30,38.5,13.6,17.5,kitam,GPS/HR
12/20/12,5,5A,,28,16,12.7,7.3,wech,GPS/HR
12/20/12,5,5,,28,16,12.7,7.3,wech,GPS/HR
12/20/12,36,36A,,20,16,9.1,7.3,wech,GPS/HR
12/20/12,5,5C,,27,16,12.2,7.3,wech,GPS/HR
12/20/12,5,6A,,22,16,10,7.3,wech,GPS/HR
12/20/12,5,5D,,23.5,16,10.7,7.3,wech,GPS/HR
12/20/12,0,0A,,29,16,13.2,7.3,wech,GPS/HR
